Rewards,Lengths,Loss,Q1,Best_Distances
62.55,116,0.77533,5.52604,709
24.9,30,0.74292,5.63075,313
24.9,30,0.79043,5.59178,313
133.65,208,0.84928,5.50638,1433
24.65,31,0.88777,5.5088,313
25.4,30,0.63044,5.535,313
60.5,85,1.14,5.53069,684
24.4,34,0.51456,5.42095,308
25.0,30,0.59503,5.49491,314
24.8,28,1.26919,5.57214,311
23.5,39,0.95991,5.52078,300
25.0,30,0.97151,5.48687,314
24.7,31,0.57967,5.53812,311
102.1,272,0.83072,5.55787,1125
24.4,30,0.86355,5.54862,312
25.0,30,1.13835,5.59349,314
25.0,30,0.44137,5.57592,314
63.0,94,1.10798,5.55165,706
24.9,30,0.94513,5.57488,313
25.1,31,0.67908,5.56718,315
61.85,85,1.07796,5.53554,690
24.65,31,1.03129,5.53337,313
62.45,228,0.93015,5.55653,722
61.0,85,0.97629,5.49369,684
61.05,84,1.06226,5.53642,687
24.7,30,0.53012,5.55878,311
24.0,33,0.88756,5.59096,304
63.1,71,0.84632,5.58052,702
25.0,30,1.18571,5.6072,314
65.0,89,0.93392,5.53998,722
61.8,100,0.80202,5.58071,695
60.05,113,1.02158,5.53579,678
24.75,30,1.23792,5.54777,314
63.9,145,0.61576,5.58382,723
25.0,30,0.92772,5.5921,314
24.3,34,0.94319,5.54947,307
25.0,30,1.32285,5.50732,314
24.8,31,0.76077,5.51539,312
25.2,29,1.32134,5.53274,315
25.0,30,0.92324,5.51336,314
25.0,30,1.19676,5.53526,314
24.8,31,1.05874,5.5194,312
25.0,30,1.09265,5.50242,314
59.35,104,0.94132,5.56563,668
24.35,34,0.64612,5.56965,310
63.1,97,0.62836,5.61254,708
134.85,150,0.98109,5.6295,1433
25.05,30,0.95737,5.65243,312
24.5,30,0.83699,5.63901,314
63.9,144,1.26194,5.57216,722
61.75,108,0.72684,5.61278,694
24.55,30,0.87332,5.70679,312
103.6,192,0.87373,5.65981,1130
62.35,101,0.90231,5.61499,699
24.85,28,0.75483,5.65694,314
25.1,28,0.88288,5.64176,314
24.3,36,0.84889,5.62459,308
25.0,30,0.64969,5.62787,314
64.55,124,1.03331,5.58212,722
24.15,35,0.73959,5.64015,309
24.9,29,0.81393,5.63215,312
62.6,82,1.02823,5.58412,700
75.05,140,1.00772,5.55368,833
62.6,97,0.87843,5.64712,703
103.25,185,1.01875,5.57404,1122
80.55,177,0.86103,5.58353,898
24.95,31,1.13573,5.63449,316
24.8,30,0.64546,5.61341,311
142.3,248,0.85476,5.59452,1525
63.55,97,0.80262,5.60501,715
24.05,32,0.67521,5.61034,307
104.55,155,0.80092,5.60119,1129
24.85,31,0.44209,5.64935,315
103.05,248,0.85861,5.62689,1128
24.25,30,0.86064,5.53813,314
25.5,34,0.72789,5.50694,314
24.5,30,0.8262,5.57359,313
61.15,78,0.93124,5.59162,682
76.45,182,1.07788,5.54081,856
24.5,30,1.11203,5.50114,314
103.5,208,0.72902,5.60291,1127
25.2,29,1.05991,5.6249,315
24.5,30,1.07446,5.53897,314
25.0,30,0.99866,5.49889,314
24.9,30,0.77183,5.51557,313
24.9,30,0.38023,5.58905,313
24.9,31,0.79765,5.66275,313
25.0,30,0.68002,5.63717,313
62.9,84,0.95013,5.56149,703
24.7,30,1.36283,5.56035,311
