Rewards,Lengths,Loss1,Loss2,Q1,Q2,Best_Distances
301.65,1212,0.13184,nan,0.42146,nan,1589
189.4,402,0.14714999496936798,nan,0.4914900064468384,nan,1139
197.25,611,0.18116000294685364,nan,0.8446499705314636,nan,898
199.75,437,0.1873600035905838,nan,1.320389986038208,nan,1433
265.1,579,0.21889999508857727,nan,1.6152000427246094,nan,1233
71.75,104,0.20247000455856323,nan,2.132730007171631,nan,314
152.05,411,0.22705000638961792,nan,2.0124099254608154,nan,1512
186.8,387,0.2533000111579895,nan,2.1095199584960938,nan,1132
297.15,563,0.2409999966621399,nan,2.367310047149658,nan,1434
197.5,579,0.25356000661849976,nan,2.580699920654297,nan,1129
156.75,249,0.26166999340057373,nan,2.6705799102783203,nan,1514
231.35,341,0.2523399889469147,nan,2.65231990814209,nan,1128
182.45,375,0.30546000599861145,nan,3.046649932861328,nan,1128
126.6,255,0.3185499906539917,nan,3.1595699787139893,nan,898
277.05,537,0.2770099937915802,nan,3.0091300010681152,nan,1234
146.05,333,0.2927899956703186,nan,3.279330015182495,nan,723
178.75,335,0.2742899954319,nan,3.1660099029541016,nan,1774
248.8,690,0.3207300007343292,nan,3.39739990234375,nan,1517
197.85,481,0.33281999826431274,nan,3.4735701084136963,nan,1124
198.95,323,0.28960999846458435,nan,3.8400700092315674,nan,1430
180.8,314,0.34411999583244324,nan,3.936079978942871,nan,1438
65.8,127,0.3485099971294403,nan,3.835629940032959,nan,298
163.25,352,0.33820998668670654,nan,3.7076799869537354,nan,857
116.2,247,0.31769999861717224,nan,4.260000228881836,nan,842
187.35,252,0.31474998593330383,nan,4.148690223693848,nan,708
198.3,580,0.3401300013065338,nan,3.999579906463623,nan,1127
118.4,238,0.31758999824523926,nan,4.155720233917236,nan,810
235.65,459,0.28001001477241516,nan,4.111869812011719,nan,1221
204.5,337,0.3380100131034851,nan,4.063759803771973,nan,2014
105.75,231,0.34556999802589417,nan,4.291510105133057,nan,722
144.15,243,0.3140600025653839,nan,4.211770057678223,nan,697
180.2,574,0.361299991607666,nan,4.154439926147461,nan,1125
233.9,496,0.3245599865913391,nan,4.266019821166992,nan,899
476.775,775,0.3031199872493744,nan,4.216189861297607,nan,3161
125.675,416,0.9059600234031677,nan,4.215929985046387,nan,1517
211.1,484,0.3398500084877014,nan,4.329160213470459,nan,1226
228.9,467,0.6368399858474731,nan,4.291689872741699,nan,1135
158.8,283,0.8318399786949158,nan,4.064700126647949,nan,833
211.25,700,0.5066099762916565,nan,3.9654600620269775,nan,1409
200.55,263,0.3208099901676178,nan,3.9419100284576416,nan,1233
195.05,521,0.536870002746582,nan,4.259210109710693,nan,816
146.8,240,0.32728999853134155,nan,4.110229969024658,nan,1425
110.05,166,0.3978700041770935,nan,4.067170143127441,nan,699
111.2,170,0.3371500074863434,nan,4.380169868469238,nan,722
109.35,248,0.9870700240135193,nan,4.350510120391846,nan,722
157.45,360,0.682889997959137,nan,4.27239990234375,nan,849
206.25,418,0.345550000667572,nan,4.306839942932129,nan,898
149.9,270,0.3887600004673004,nan,4.452420234680176,nan,722
197.6,528,1.0458300113677979,nan,4.357810020446777,nan,1223
163.8,250,0.302590012550354,nan,4.587709903717041,nan,1428
163.2,381,0.6794400215148926,nan,4.637229919433594,nan,898
255.35,465,0.35141000151634216,nan,4.509089946746826,nan,2476
187.7,354,0.7488700151443481,nan,4.547239780426025,nan,1523
144.5,319,0.38029998540878296,nan,4.529679775238037,nan,724
170.75,330,0.825980007648468,nan,4.461209774017334,nan,826
161.4,314,0.300570011138916,nan,4.601490020751953,nan,1415
145.3,318,1.1944199800491333,nan,4.537209987640381,nan,1430
223.85,457,0.3653300106525421,nan,4.436349868774414,nan,1126
177.8,363,0.30309998989105225,nan,4.516839981079102,nan,872
160.75,299,0.3496899902820587,nan,4.452630043029785,nan,853
206.9,415,0.3742299973964691,nan,4.582170009613037,nan,1122
162.0,280,0.3803499937057495,nan,4.633110046386719,nan,850
147.8,231,0.9388399720191956,nan,4.615210056304932,nan,703
179.9,496,0.6173499822616577,nan,4.669579982757568,nan,898
203.85,351,0.34887999296188354,nan,4.748330116271973,nan,898
147.7,408,0.3685699999332428,nan,4.6832098960876465,nan,1129
146.8,307,0.3853200078010559,nan,4.873740196228027,nan,722
200.15,337,0.32958000898361206,nan,4.8315300941467285,nan,1785
220.85,425,0.42684000730514526,nan,4.800829887390137,nan,1128
227.85,323,0.38093000650405884,nan,4.907690048217773,nan,1122
99.7,295,0.8004400134086609,nan,4.8869500160217285,nan,722
223.2,459,0.3907099962234497,nan,4.87667989730835,nan,1128
149.9,270,0.38227999210357666,nan,4.93202018737793,nan,722
88.4,245,1.4410200119018555,nan,4.863349914550781,nan,670
162.85,264,0.33994001150131226,nan,4.809919834136963,nan,820
185.2,311,0.3599500060081482,nan,4.926310062408447,nan,1125
261.75,620,0.8303200006484985,nan,4.813700199127197,nan,1126
156.3,439,0.5927000045776367,nan,4.863830089569092,nan,1409
195.45,364,0.3742400109767914,nan,4.821529865264893,nan,838
251.2,315,0.4105899930000305,nan,4.786749839782715,nan,1407
147.15,378,0.3511599898338318,nan,5.082640171051025,nan,1128
238.15,383,0.4412600100040436,nan,4.987520217895508,nan,1230
143.75,378,1.0095499753952026,nan,5.026360034942627,nan,698
185.05,316,0.3912700116634369,nan,4.9680399894714355,nan,1125
267.3,510,0.6437299847602844,nan,4.869349956512451,nan,1127
108.35,142,0.27921000123023987,nan,5.023950099945068,nan,676
218.25,342,0.33452001214027405,nan,5.162919998168945,nan,1422
148.6,344,0.37042999267578125,nan,5.125579833984375,nan,723
107.5,163,0.40327998995780945,nan,5.034800052642822,nan,678
190.4,303,0.4590499997138977,nan,5.042789936065674,nan,1127
251.7,377,0.6574299931526184,nan,5.057139873504639,nan,1786
146.15,225,0.4003700017929077,nan,5.027050018310547,nan,704
229.0,343,0.864139974117279,nan,4.981810092926025,nan,1132
158.45,262,0.42294999957084656,nan,5.00846004486084,nan,812
191.0,334,0.37397000193595886,nan,5.013609886169434,nan,1129
111.7,216,0.4027999937534332,nan,4.952270030975342,nan,723
151.1,251,0.36809998750686646,nan,5.2115797996521,nan,1138
199.9,539,0.40342000126838684,nan,5.164539813995361,nan,1433
201.1,682,0.39618000388145447,nan,5.2751898765563965,nan,1126
181.9,499,0.4968799948692322,nan,5.235350131988525,nan,1128
162.6,328,0.4448400139808655,nan,5.3429999351501465,nan,832
265.05,445,0.4622099995613098,nan,5.264130115509033,nan,1414
66.75,107,0.3618899881839752,nan,5.276169776916504,nan,314
161.9,317,0.3376399874687195,nan,5.2458600997924805,nan,1415
188.0,357,0.35311999917030334,nan,5.2457499504089355,nan,1127
171.2,310,0.3859499990940094,nan,5.182740211486816,nan,1669
147.1,242,0.4500499963760376,nan,5.129720211029053,nan,1435
160.05,310,0.32785001397132874,nan,5.049620151519775,nan,1247
218.2,353,0.35756000876426697,nan,4.990809917449951,nan,1949
255.85,471,0.39017999172210693,nan,5.093949794769287,nan,1434
143.65,247,0.47745001316070557,nan,5.1661601066589355,nan,705
260.1,431,0.38561999797821045,nan,5.117440223693848,nan,1122
104.75,187,0.4209100008010864,nan,5.109169960021973,nan,692
149.75,396,0.45708999037742615,nan,5.05355978012085,nan,1138
166.3,300,0.3234899938106537,nan,5.083119869232178,nan,898
219.65,308,0.32677000761032104,nan,5.103020191192627,nan,1963
227.9,431,0.3990800082683563,nan,5.212349891662598,nan,1125
144.45,208,0.46208998560905457,nan,5.141870021820068,nan,696
215.0,374,0.3519600033760071,nan,5.22245979309082,nan,1416
206.45,372,0.3608100116252899,nan,5.3422698974609375,nan,1498
229.35,425,0.3785800039768219,nan,5.2677001953125,nan,1414
112.35,143,0.5592700242996216,nan,5.23061990737915,nan,708
125.1,233,0.43845000863075256,nan,5.362120151519775,nan,898
259.6,396,0.5177500247955322,nan,5.322440147399902,nan,1961
188.75,425,0.4378199875354767,nan,5.310929775238037,nan,1129
187.6,471,0.3721599876880646,nan,5.291659832000732,nan,1127
190.5,302,0.7698699831962585,nan,5.302340030670166,nan,1127
180.5,450,0.3618899881839752,nan,5.347040176391602,nan,691
144.05,259,0.45364999771118164,nan,5.367670059204102,nan,697
162.9,260,0.8376700282096863,nan,5.385900020599365,nan,1418
107.7,198,0.3809399902820587,nan,5.249259948730469,nan,702
123.6,242,0.36809998750686646,nan,5.351659774780273,nan,854
225.3,317,0.4022899866104126,nan,5.337890148162842,nan,1128
112.75,144,0.4106200039386749,nan,5.276509761810303,nan,709
225.3,397,0.448529988527298,nan,5.306000232696533,nan,1126
124.3,238,0.3996799886226654,nan,5.23475980758667,nan,869
128.8,216,0.4124299883842468,nan,5.232759952545166,nan,900
182.95,480,0.42895999550819397,nan,5.222010135650635,nan,1126
195.75,438,0.3800100088119507,nan,5.358839988708496,nan,816
195.85,371,0.4574599862098694,nan,5.3126301765441895,nan,1787
