Rewards,Lengths,Loss,Q1,Best_Distances
24.3,32,0.54694,5.68606,307
25.0,30,0.85074,5.68939,314
63.4,84,0.87731,5.71702,708
25.4,30,0.67024,5.79238,313
134.2,173,0.89439,5.73858,1434
104.35,158,0.81745,5.73626,1128
58.85,153,0.81763,5.71893,684
24.7,33,0.41762,5.72542,306
24.5,30,0.44821,5.72829,314
25.6,31,0.91453,5.7081,315
103.85,167,0.85347,5.59925,1130
104.1,177,0.70592,5.68533,1127
62.5,127,0.67424,5.66561,713
24.65,30,0.76028,5.70299,313
23.8,34,1.01703,5.66966,302
63.65,87,0.79464,5.61978,709
24.55,30,0.83135,5.68039,312
25.0,30,0.7492,5.66303,314
24.9,30,0.98389,5.64085,313
25.1,30,1.17592,5.57262,315
134.9,165,0.80523,5.67955,1434
24.6,30,1.20567,5.68368,313
24.8,31,1.18012,5.61867,312
61.65,92,0.77071,5.75813,690
73.1,238,0.8976,5.73716,836
24.55,31,0.6323,5.75648,312
62.15,106,0.68898,5.72306,693
24.25,30,1.10101,5.83142,314
25.0,30,0.84407,5.7579,314
103.95,207,0.67826,5.72859,1129
24.15,30,0.84765,5.7934,313
25.2,31,0.61307,5.78758,316
134.15,188,0.82592,5.69366,1434
133.55,189,0.7571,5.7004,1433
25.0,30,0.70201,5.73215,314
24.8,30,1.35484,5.68104,312
103.7,184,0.81088,5.69908,1129
25.4,30,0.92024,5.60192,313
134.75,179,0.8803,5.6844,1433
23.75,30,1.12993,5.55501,314
25.0,30,0.64674,5.64591,314
24.1,34,0.40999,5.74467,305
24.9,30,1.09207,5.77311,313
25.0,30,0.78251,5.69335,314
25.0,30,0.92503,5.65949,314
103.95,230,0.82784,5.66369,1127
62.9,86,0.77083,5.71485,713
23.55,34,0.70362,5.69329,301
25.0,29,0.66895,5.65812,313
25.5,30,0.61068,5.67203,314
133.95,216,0.81327,5.68212,1438
60.6,74,0.92614,5.70213,683
24.75,30,0.70976,5.63403,314
25.0,30,1.04285,5.6574,314
61.8,182,0.84871,5.68453,712
25.1,31,0.44398,5.77242,315
24.4,34,1.05062,5.69638,308
24.8,30,1.14046,5.63216,312
102.55,241,0.9405,5.58814,1127
63.75,136,0.67947,5.60395,723
25.3,30,0.95131,5.57627,312
63.75,136,0.80463,5.57843,722
103.8,206,0.92148,5.55059,1130
24.25,30,0.7628,5.66076,314
24.8,30,0.85371,5.64592,311
64.0,75,0.6194,5.61139,713
25.2,30,1.08946,5.62566,315
25.1,31,0.58585,5.57339,315
24.7,29,1.17243,5.61368,310
25.3,30,0.83953,5.6068,312
24.5,30,1.12787,5.57103,314
